customer_id_,customer_id,customer_name,country_iso2,country_text,customer_market_key
100001,100001,Universitätsklinikum Berlin,DE,Central Europe,CM_100001
100002,100002,Klinikum Munich,DE,Central Europe,CM_100002
100003,100003,Herzzentrum Hamburg,DE,Central Europe,CM_100003
100004,100004,Städtisches Krankenhaus Frankfurt,DE,Central Europe,CM_100004
100005,100005,St. Vinzenz-Hospital Cologne,DE,Central Europe,CM_100005
100006,100006,Universitätsklinikum Stuttgart,DE,Central Europe,CM_100006
100007,100007,Klinikum Düsseldorf,DE,Central Europe,CM_100007
100008,100008,Herzzentrum Leipzig,DE,Central Europe,CM_100008
100009,100009,Städtisches Krankenhaus Dresden,DE,Central Europe,CM_100009
100010,100010,St. Vinzenz-Hospital Hannover,DE,Central Europe,CM_100010
100011,100011,Universitätsklinikum Essen,DE,Central Europe,CM_100011
100012,100012,Klinikum Freiburg,DE,Central Europe,CM_100012
100013,100013,CHU Paris,FR,Western Europe,CM_100013
100014,100014,Hôpital Lyon,FR,Western Europe,CM_100014
100015,100015,Clinique Marseille,FR,Western Europe,CM_100015
100016,100016,Centre Cardiologique Toulouse,FR,Western Europe,CM_100016
100017,100017,Institut Cardiovasculaire Bordeaux,FR,Western Europe,CM_100017
100018,100018,CHU Lille,FR,Western Europe,CM_100018
100019,100019,Hôpital Strasbourg,FR,Western Europe,CM_100019
100020,100020,Clinique Nantes,FR,Western Europe,CM_100020
100021,100021,Centre Cardiologique Rennes,FR,Western Europe,CM_100021
100022,100022,Institut Cardiovasculaire Montpellier,FR,Western Europe,CM_100022
100023,100023,CHU Grenoble,FR,Western Europe,CM_100023
100024,100024,Hôpital Nice,FR,Western Europe,CM_100024
100025,100025,Royal London,GB,Northern Europe,CM_100025
100026,100026,St. Thomas' Manchester,GB,Northern Europe,CM_100026
100027,100027,University Hospital Birmingham,GB,Northern Europe,CM_100027
100028,100028,Queen Elizabeth Leeds,GB,Northern Europe,CM_100028
100029,100029,King's College Liverpool,GB,Northern Europe,CM_100029
100030,100030,Royal Bristol,GB,Northern Europe,CM_100030
100031,100031,St. Thomas' Oxford,GB,Northern Europe,CM_100031
100032,100032,University Hospital Cambridge,GB,Northern Europe,CM_100032
100033,100033,Queen Elizabeth Edinburgh,GB,Northern Europe,CM_100033
100034,100034,King's College Glasgow,GB,Northern Europe,CM_100034
100035,100035,Royal Cardiff,GB,Northern Europe,CM_100035
100036,100036,St. Thomas' Brighton,GB,Northern Europe,CM_100036
100037,100037,Ospedale Milan,IT,Southern Europe,CM_100037
100038,100038,Policlinico Rome,IT,Southern Europe,CM_100038
100039,100039,Centro Cardiologico Naples,IT,Southern Europe,CM_100039
100040,100040,Istituto Clinico Turin,IT,Southern Europe,CM_100040
100041,100041,Fondazione Florence,IT,Southern Europe,CM_100041
100042,100042,Ospedale Bologna,IT,Southern Europe,CM_100042
100043,100043,Policlinico Genoa,IT,Southern Europe,CM_100043
100044,100044,Centro Cardiologico Padua,IT,Southern Europe,CM_100044
100045,100045,Istituto Clinico Verona,IT,Southern Europe,CM_100045
100046,100046,Fondazione Catania,IT,Southern Europe,CM_100046
100047,100047,Ospedale Bari,IT,Southern Europe,CM_100047
100048,100048,Policlinico Palermo,IT,Southern Europe,CM_100048
100049,100049,Hospital Universitario Madrid,ES,Southern Europe,CM_100049
100050,100050,Clínica Barcelona,ES,Southern Europe,CM_100050
100051,100051,Hospital General Valencia,ES,Southern Europe,CM_100051
100052,100052,Centro Médico Seville,ES,Southern Europe,CM_100052
100053,100053,Hospital Clínic Bilbao,ES,Southern Europe,CM_100053
100054,100054,Hospital Universitario Malaga,ES,Southern Europe,CM_100054
100055,100055,Clínica Zaragoza,ES,Southern Europe,CM_100055
100056,100056,Hospital General Murcia,ES,Southern Europe,CM_100056
100057,100057,Centro Médico Santiago,ES,Southern Europe,CM_100057
100058,100058,Hospital Clínic Valladolid,ES,Southern Europe,CM_100058
100059,100059,Hospital Universitario Salamanca,ES,Southern Europe,CM_100059
