Customer Id,Customer Name,Customer Combined,Customer Segment,CountryIso2,Country Name,Year,Terumo Category,Qty Sold,Sales EUR
100001,Universitätsklinikum Berlin,100001 - Universitätsklinikum Berlin,University Hospital,DE,Central Europe,2025,Hemostasis Valves,41,398.93
100001,Universitätsklinikum Berlin,100001 - Universitätsklinikum Berlin,University Hospital,DE,Central Europe,2025,Drug-Eluting Stents,1,438.41
100001,Universitätsklinikum Berlin,100001 - Universitätsklinikum Berlin,University Hospital,DE,Central Europe,2025,Microcatheters,44,6777.39
100002,Klinikum Munich,100002 - Klinikum Munich,University Hospital,DE,Central Europe,2025,Inflation Devices,1,13.05
100002,Klinikum Munich,100002 - Klinikum Munich,University Hospital,DE,Central Europe,2025,PTCA Balloon Catheters,32,2843.14
100002,Klinikum Munich,100002 - Klinikum Munich,University Hospital,DE,Central Europe,2025,Hemostasis Valves,1,8.9
100002,Klinikum Munich,100002 - Klinikum Munich,University Hospital,DE,Central Europe,2025,Introducer Sheaths,110,1467.82
100002,Klinikum Munich,100002 - Klinikum Munich,University Hospital,DE,Central Europe,2025,Microcatheters,4,594.4
100003,Herzzentrum Hamburg,100003 - Herzzentrum Hamburg,University Hospital,DE,Central Europe,2025,Microcatheters,787,125376.75
100003,Herzzentrum Hamburg,100003 - Herzzentrum Hamburg,University Hospital,DE,Central Europe,2025,Diagnostic Catheters,853,19809.85
100003,Herzzentrum Hamburg,100003 - Herzzentrum Hamburg,University Hospital,DE,Central Europe,2025,Introducer Sheaths,594,7440.26
100003,Herzzentrum Hamburg,100003 - Herzzentrum Hamburg,University Hospital,DE,Central Europe,2025,Guide Wires,1359,23448.01
100004,Städtisches Krankenhaus Frankfurt,100004 - Städtisches Krankenhaus Frankfurt,Public Hospital,DE,Central Europe,2025,Diagnostic Catheters,12,285.45
100004,Städtisches Krankenhaus Frankfurt,100004 - Städtisches Krankenhaus Frankfurt,Public Hospital,DE,Central Europe,2025,PTCA Balloon Catheters,21,2224.63
100004,Städtisches Krankenhaus Frankfurt,100004 - Städtisches Krankenhaus Frankfurt,Public Hospital,DE,Central Europe,2025,Drug-Eluting Stents,6,2396.59
100004,Städtisches Krankenhaus Frankfurt,100004 - Städtisches Krankenhaus Frankfurt,Public Hospital,DE,Central Europe,2025,Inflation Devices,14,186.76
100004,Städtisches Krankenhaus Frankfurt,100004 - Städtisches Krankenhaus Frankfurt,Public Hospital,DE,Central Europe,2025,Hemostasis Valves,15,114.58
100005,St. Vinzenz-Hospital Cologne,100005 - St. Vinzenz-Hospital Cologne,Public Hospital,DE,Central Europe,2025,Radial Access Kits,5,158.94
100005,St. Vinzenz-Hospital Cologne,100005 - St. Vinzenz-Hospital Cologne,Public Hospital,DE,Central Europe,2025,PTCA Balloon Catheters,27,2619.19
100005,St. Vinzenz-Hospital Cologne,100005 - St. Vinzenz-Hospital Cologne,Public Hospital,DE,Central Europe,2025,Hemostasis Valves,4,36.75
100005,St. Vinzenz-Hospital Cologne,100005 - St. Vinzenz-Hospital Cologne,Public Hospital,DE,Central Europe,2025,Guiding Catheters,25,700.61
